,Brands,Models,Battery,OriginalPrice,DiscountedPrice,Discount,Rating,Reviews
577,Portronics,Portronics Harmonics Twins,35,"₹1,999",₹939,53%,4,"(12,267)"
578,GOBOULT,GOBOULT Astra with,48,"₹3,499","₹1,199",65%,4.2,"(13,365)"
579,TRIGGR,TRIGGR Ultrabuds N4,,"₹1,999",₹599,70%,4,"(82,529)"
580,realme,realme Buds T110,38,"₹2,999","₹1,299",56%,4,"(42,234)"
581,PTROX,PTROX Ultrabuds with,40,"₹1,999",₹599,70%,4.1,"(4,972)"
582,TRIGGR,TRIGGR Kraken X1,,"₹3,999",₹799,80%,3.7,(452)
583,TRIGGR,TRIGGR Kraken X4,,"₹3,999",₹799,80%,3.9,"(1,34,436)"
584,Mivi,Mivi Duopods Horizon,60,"₹3,999",₹699,82%,4.1,"(2,10,839)"
585,Hammer,Hammer Ultra Pods,30,"₹3,499",₹499,85%,4,"(4,464)"
586,boAt,"boAt Airdopes 71,40",40,"₹3,990",₹899,77%,4.1,"(64,943)"
587,One7,One7 ON-1000 24,24,"₹1,599",₹713,55%,4,(197)
588,GOBOULT,GOBOULT Astra with,48,"₹3,499","₹1,199",65%,4.2,"(55,513)"
589,TRIGGR,TRIGGR Ultrabuds N5,40,"₹2,999",₹599,80%,4.1,"(12,069)"
590,HOPPUP,HOPPUP S40 Earbuds,40,"₹3,999",₹599,85%,4.1,"(4,55,572)"
591,Portronics,Portronics S11 in,,"₹2,999","₹1,329",55%,4,"(14,48,951)"
592,GOBOULT,GOBOULT Mustang Torq,60,"₹5,999","₹1,799",70%,3.8,"(2,326)"
593,PTron,PTron Bassbuds Vibe,34,"₹2,899",₹599,79%,4,"(1,06,270)"
594,GOBOULT,GOBOULT Z40 with,60,"₹4,999",₹999,80%,4,"(42,234)"
595,boAt,"boAt Airdopes 161/163,ASAP",40,"₹2,490",₹999,59%,4,"(16,390)"
596,TRIGGR,TRIGGR Opus with,,"₹3,999",₹699,82%,3.7,(190)
597,PTROX,PTROX Ultrabuds with,40,"₹1,999",₹599,70%,4,"(6,68,128)"
598,boAt,boAt Airdopes 181,100,"₹4,990","₹1,099",77%,4.1,"(2,10,839)"
599,TRIGGR,TRIGGR Kraken X4,,"₹3,999",₹799,80%,3.9,"(33,260)"
600,TRIGGR,TRIGGR Rizz Duo,,"₹3,999",₹699,82%,4,"(7,983)"
601,HOPPUP,HOPPUP AirDoze 402,50,"₹4,999",₹999,80%,3.9,"(1,17,032)"
602,Noise,Noise Buds VS102,50,"₹3,499","₹1,299",62%,4,"(29,713)"
603,GOBOULT,GOBOULT Astra Neo,70,"₹3,499","₹1,099",68%,4,"(29,713)"
604,Mivi,Mivi DuoPods K5,,"₹3,999",₹999,75%,4.1,"(78,308)"
605,truke,truke BTG Crystal,,"₹3,499",₹899,74%,3.9,"(1,17,032)"
606,Mivi,"Mivi Duopods K2,",40,"₹2,999",₹899,70%,4,
607,Number,Number Super Buds,,"₹4,999",₹799,84%,5,
608,Number,Number Super Buds,,"₹4,999",₹799,84%,5,
609,GOBOULT,GOBOULT Z60 with,60,"₹2,999",₹799,73%,4.1,
610,Mivi,"Mivi Duopods K2,",40,"₹2,999",₹699,76%,4,
611,PTROX,PTROX Ultrabuds with,40,"₹1,999",₹599,70%,3,
612,,,,,₹599,70%,4,
613,,,,,₹699,65%,4,
614,,,,,₹999,59%,5,
615,,,,,"₹1,099",77%,4,
616,,,,,"₹1,799",70%,4,
617,,,,,,,5,
618,,,,,,,4.2,
