,Brands,Models,Battery,OriginalPrice,DiscountedPrice,Discount,Rating,Reviews
169,Mivi,"Mivi Superpods Opera,",60,"₹5,999","₹1,499",75%,4,"(26,073)"
170,Noise,Noise Aura Buds,60,"₹4,499","₹1,499",66%,4,"(7,429)"
171,GOBOULT,GOBOULT Astra with,48,"₹3,499","₹1,199",65%,4.1,"(2,10,839)"
172,GOBOULT,GOBOULT Astra with,48,"₹3,499","₹1,199",65%,4.1,"(2,10,839)"
173,Morxt,Morxt Earbuds Pro,24,"₹9,998","₹1,140",88%,4.1,"(20,412)"
174,boAt,boAt Airdopes 800(2025,,"₹7,490","₹1,599",78%,4.1,"(2,10,839)"
175,GOBOULT,GOBOULT Astra Neo,70,"₹3,499","₹1,099",68%,3.8,"(1,12,490)"
176,boAt,boAt Airdopes 161,,"₹5,999","₹1,299",78%,3.7,"(63,938)"
177,boAt,boAt Airdopes 131,60,"₹6,990","₹1,399",79%,4.4,"(3,21,130)"
178,BeatFlow,BeatFlow Earbuds Pro,,"₹4,999","₹1,158",76%,4,"(1,027)"
179,OnePlus,OnePlus Nord Buds,8,"₹1,999","₹1,699",15%,4,"(1,244)"
180,truke,truke Mega 10,70,"₹4,499","₹1,199",73%,4.2,(848)
181,truke,truke Buds Infinity,70,"₹3,999","₹1,599",60%,4.1,"(1,33,323)"
182,boAt,boAt Airdopes Prime,50,"₹4,490","₹1,199",73%,3.8,"(10,324)"
183,GOBOULT,GOBOULT Y1 Pro,60,"₹5,999","₹1,099",81%,4,"(4,244)"
184,Noise,Noise Buds MVP102,60,"₹2,999","₹1,099",63%,3.7,(209)
185,Mivi,Mivi Duopods Infinity,70,"₹4,499","₹1,099",75%,3.7,(877)
186,BeatFlow,BeatFlow Earbuds Pro,,"₹4,999","₹1,170",76%,4,"(26,073)"
187,PHILIPS,PHILIPS TAT1209BK/00In Ear,18,"₹2,999","₹1,499",50%,4,(811)
188,PHILIPS,PHILIPS TAT1150BK Earbuds,55,"₹3,999","₹1,699",57%,4.1,(866)
189,Mivi,"Mivi Superpods Opera,",60,"₹5,999","₹1,499",75%,4,"(6,68,128)"
190,ZEBRONICS,"ZEBRONICS Zeb-Pods K2,",40,"₹4,499",₹899,80%,3.8,"(10,324)"
191,boAt,"boAt Nirvana Crystl,",,"₹10,990","₹1,999",81%,3.9,"(1,010)"
192,Noise,Noise Buds VS102,50,"₹3,499","₹1,299",62%,4.2,"(11,849)"
193,Noise,Noise Buds MVP102,60,"₹2,999","₹1,099",63%,3.8,"(1,22,752)"
194,Noise,Noise Airwave Pro,60,"₹3,999","₹1,499",62%,4,"(16,069)"
195,vivo,vivo TWS 3e,,"₹2,499","₹1,899",24%,3.7,"(63,938)"
196,Noise,Noise Buds VS102,70,"₹3,999","₹1,499",62%,3.9,"(11,442)"
197,Mi,Mi Buds 5,,"₹4,999","₹1,499",70%,3.8,"(1,12,490)"
198,boAt,boAt Airdopes 131,60,"₹6,990","₹1,299",81%,4,"(3,123)"
199,boAt,"boAt Airdopes 301,75H",75,"₹4,990","₹1,099",77%,4.1,"(1,34,762)"
200,boAt,boAt Airdopes 161,,"₹4,490","₹1,199",73%,4,"(3,373)"
201,truke,truke Mega 9,70,"₹3,999","₹1,099",72%,4,"(16,069)"
202,boAt,boAt Nirvana Ion,120,"₹8,999","₹1,999",77%,4,
203,boAt,boAt Airdopes 300,,"₹6,490","₹1,399",78%,5,
204,Mi,Mi Buds 5C,,"₹4,999","₹1,799",64%,1,
205,,,,,"₹1,199",73%,4,
206,,,,,"₹1,099",75%,5,
207,,,,,"₹1,499",50%,1,
208,,,,,"₹1,499",62%,3.7,
209,,,,,"₹1,999",77%,4,
210,,,,,,,1,
211,,,,,,,3.9,
212,,,,,,,5,
213,,,,,,,1,
214,,,,,,,4.1,
215,,,,,,,4,
216,,,,,,,5,
217,GOBOULT,GOBOULT Astra with,48,"₹3,499","₹1,199",65%,4.1,"(2,10,839)"
218,GOBOULT,GOBOULT Y1 with,50,"₹5,499",₹699,87%,4.1,"(5,57,237)"
219,BeatFlow,BeatFlow Airbuds pro,,"₹9,998","₹1,328",86%,4.1,"(2,10,839)"
220,BeatFlow,BeatFlow Airpuds Pro,24,"₹4,879","₹1,451",70%,4,"(12,267)"
221,Rocker,Rocker R MT2,500,"₹2,999","₹1,299",56%,4.1,"(20,412)"
222,FlipHub,FlipHub Airbuds Pro,,"₹6,900","₹1,236",82%,2.8,(62)
223,GOBOULT,GOBOULT Astra with,48,"₹3,499","₹1,199",65%,3.5,(12)
224,TRIGGR,TRIGGR Ultrabuds N4,,"₹1,999",₹599,70%,3.7,(327)
225,boAt,boAt Airdopes 800(2025,,"₹7,490","₹1,599",78%,3.4,(13)
226,BeatFlow,BeatFlow Buds2 Pro,48,"₹9,998","₹1,283",87%,2.5,(4)
227,SORAK,SORAK CREATION Premium,,"₹2,999","₹1,509",49%,4,
228,SORAK,SORAK CREATION Premium,,"₹2,999","₹1,509",49%,5,
229,Clairbell,Clairbell VUK_462T_T8 Wireless,,"₹2,398","₹1,316",45%,5,
230,GUGGU,GUGGU FGS_648K TWS,,"₹1,999","₹1,103",44%,4.1,
231,BeatFlow,BeatFlow Earpods Pro,12,"₹9,998","₹1,189",88%,4,
232,XTOUCH,XTOUCH XPod Plus,,"₹4,999","₹1,420",71%,5,
233,lokrock,lokrock New CMFF_f,,"₹2,999","₹1,000",66%,4.1,
234,SCUBEL,SCUBEL npods 2,,"₹5,999","₹1,699",71%,4,
235,APES,APES SonicPods Wireless,,"₹5,999","₹1,676",72%,1,
236,Arshad,Arshad Titanic Nirvana,,"₹2,799","₹1,899",32%,4.1,
237,BeatFlow,BeatFlow Buds2 Pro,48,"₹9,998","₹1,136",88%,4,
238,Belear,Belear BL-F20 Pro,,"₹2,399","₹1,166",51%,5,
239,FYFIT,FYFIT McLaren Style,,"₹10,999","₹1,899",82%,3.7,
240,vswqpp,vswqpp Latest TWS,20,"₹2,299","₹1,000",56%,4,
241,Morxt,Morxt Airbuds pro,,"₹9,998","₹1,178",88%,1,
242,Morxt,Morxt Airbuds pro,,"₹9,998","₹1,289",87%,,
243,Morxt,Morxt Pro Bass,,"₹9,998","₹1,250",87%,,
244,MNHGRE,MNHGRE Smart Buds,,"₹2,299","₹1,126",51%,,
245,ONYZE,ONYZE ON901-ARMOR Gaming,50,"₹2,999","₹1,299",56%,,
246,Morxt,Morxt Airpuds Pro,28,"₹9,998","₹1,378",86%,,
247,UniBoss,UniBoss Harmony Bluetooth,,"₹2,999","₹1,994",33%,,
248,SAIBABA,SAIBABA airrpords pro,,"₹4,999","₹1,299",74%,,
249,BeatFlow,BeatFlow Earpods Pro,,"₹9,998","₹1,142",88%,,
250,ZOLDYCK,ZOLDYCK Bluetooth Wireless,,"₹2,000",₹949,52%,,
251,Waunset,Waunset Display earbuds,,"₹6,999","₹1,707",75%,,
252,GUGGU,GUGGU YPZ_516L T12,,"₹2,199","₹1,195",45%,,
253,delphine,delphine Bluetooth Earbuds,45,"₹2,499","₹1,198",52%,,
254,Tunifi,Tunifi Bluetooth Headset,,"₹2,499","₹1,164",53%,,
255,BeatFlow,BeatFlow Airpuds Pro,,"₹4,959","₹1,318",73%,,
256,TOUCH,TOUCH 18 Nord,,"₹2,999","₹1,000",66%,,
257,,,,,₹599,70%,,
258,,,,,"₹1,599",78%,,
259,,,,,₹699,87%,,
260,,,,,"₹1,199",65%,,
261,,,,,"₹1,299",56%,,
262,GOBOULT,GOBOULT Astra with,48,"₹3,499","₹1,199",65%,4.1,"(2,10,839)"
263,GOBOULT,GOBOULT Astra with,48,"₹3,499","₹1,199",65%,4.1,"(2,10,839)"
264,Soundcore,Soundcore by Anker,,"₹5,598","₹1,699",69%,4.2,(498)
265,FINGERS,FINGERS SizeZero Pods2,,"₹2,499","₹1,351",45%,4,(557)
266,FINGERS,FINGERS SizeZero Pods2,,"₹2,499","₹1,349",46%,4,(557)
267,boAt,boAt Immortal 161,40,"₹3,499","₹1,099",68%,4,"(14,48,951)"
268,GOBOULT,GOBOULT Y1 with,50,"₹5,499",₹699,87%,4.1,"(5,57,237)"
269,TRIGGR,TRIGGR Kraken X1,,"₹3,999",₹799,80%,4,"(82,529)"
270,GOBOULT,GOBOULT (previously Boult),,"₹3,999","₹1,299",67%,4,"(33,881)"
271,truke,truke Buds Echo,,"₹3,999","₹1,099",72%,4.2,"(1,770)"
272,ACwO,ACwO DwOTS Fire,,"₹7,999","₹1,998",75%,3.8,(247)
273,boAt,boAt Immortal 171,40,"₹3,499","₹1,099",68%,4.1,"(34,715)"
274,ZEBRONICS,ZEBRONICS Pods K3,40,"₹4,199","₹1,099",73%,3.7,(91)
275,Mi,"Mi Buds 5A,",30,"₹2,999","₹1,299",56%,4,"(16,069)"
276,Noise,Noise Buds Xero,,"₹6,999","₹1,999",71%,3.9,(869)
277,ACwO,ACwO DWOTSFIRE Bluetooth,,"₹7,999","₹1,998",75%,3.8,(247)
278,boAt,boAt Airdopes Drift,40,"₹5,990","₹1,499",74%,4.2,"(2,986)"
279,GOBOULT,GOBOULT Klarity 3,,"₹5,999","₹1,999",66%,3.8,"(12,499)"
280,Portronics,Portronics Harmonics Twins,,"₹2,499","₹1,232",50%,4.1,(169)
281,Mivi,"Mivi Superpods Opera,",60,"₹5,999","₹1,499",75%,4,"(26,073)"
282,Portronics,Portronics Harmonics Twins,,"₹2,999","₹1,199",60%,3.8,(175)
283,delphine,delphine TWS Earbuds-Noise,,"₹3,999","₹1,199",70%,4.6,(8)
284,ACwO,ACwO DwOTS Bliss,65,"₹4,999","₹1,099",78%,4.2,(67)
285,Mi,Mi Buds 5C,,"₹4,999","₹1,799",64%,4,"(16,069)"
286,truke,truke Buds Echo,,"₹3,999","₹1,099",72%,4.2,"(1,770)"
287,PHILIPS,PHILIPS TAT1050GN Earbuds,50,"₹2,899","₹1,599",44%,3.5,(387)
288,Mivi,"Mivi Duopods I7,",55,"₹4,999","₹1,199",76%,4,"(14,609)"
289,boAt,boAt Nirvana X,,"₹8,990","₹1,999",77%,3.9,(638)
290,realme,realme T200 Hi-Res,200,"₹2,999","₹1,999",33%,4.3,"(77,716)"
291,Portronics,Portronics 30 Over,,"₹3,999","₹1,999",50%,4.2,(49)
292,RD,RD WS-43 Studio,,"₹1,499","₹1,199",20%,4,(7)
293,boAt,"boAt Nirvana Crystl,",,"₹10,990","₹1,999",81%,4.1,(866)
294,boAt,boAt Nirvana Ion,120,"₹9,990","₹1,899",80%,4.1,"(1,34,762)"
295,Blaupunkt,Blaupunkt BTW300 Xtreme,,"₹5,999","₹1,498",75%,4.2,(191)
296,FINGERS,FINGERS SizeZero Pods2,,"₹2,499","₹1,349",46%,4,(557)
297,Noise,Noise Buds X,120,"₹4,499","₹1,999",55%,3.9,"(6,515)"
298,boAt,boAt Immortal Airspeed,,"₹6,990","₹1,999",71%,4,(58)
299,KDM,KDM A1 Hop,1,"₹2,499","₹1,345",46%,4.1,"(20,412)"
300,boAt,boAt Airdopes 800,,"₹6,490","₹1,599",75%,3.8,
301,sk,sk ultra TWS,40,"₹5,999","₹1,523",74%,5,
302,,,,,"₹1,999",66%,1,
303,,,,,"₹1,099",73%,3.7,
304,,,,,"₹1,099",68%,4,
305,,,,,"₹1,498",75%,2,
306,,,,,"₹1,232",50%,4.1,
307,,,,,,,5,
308,,,,,,,5,
309,,,,,,,4.2,
310,,,,,,,4,
311,,,,,,,5,
312,,,,,,,4.1,
313,,,,,,,5,
314,,,,,,,4,
315,GOBOULT,GOBOULT Y1 with,50,"₹5,499",₹699,87%,4.1,"(5,57,237)"
316,Noise,Noise Buds VS102,50,"₹3,499","₹1,299",62%,4,"(6,68,128)"
317,truke,"truke Clarity 5,",80,"₹3,499","₹1,699",51%,3.8,"(3,447)"
318,boAt,boAt Airdopes Supreme,50,"₹6,490","₹1,399",78%,4.1,"(1,74,192)"
319,delphine,delphine Bluetooth earbuds,40,"₹2,499","₹1,099",56%,4.1,(15)
320,boAt,boAt Airdopes 161,,"₹5,999","₹1,299",78%,3.8,"(1,12,490)"
321,GOBOULT,GOBOULT Astra with,48,"₹3,499","₹1,199",65%,4.1,"(2,10,839)"
322,GOBOULT,GOBOULT Astra with,48,"₹3,499","₹1,199",65%,4.1,"(2,10,839)"
323,Leaf,Leaf Buds X614,,"₹3,999","₹1,299",67%,3.8,(252)
324,boAt,boAt Airdopes 155,40,"₹5,490","₹1,399",74%,3.8,"(3,452)"
325,GOBOULT,GOBOULT Astra Neo,70,"₹3,499","₹1,099",68%,4.1,"(2,10,839)"
326,Number,Number Navo Buds,100,"₹5,999",₹899,85%,4,"(3,034)"
327,ACwO,ACwO DwOTS 333,,"₹6,999","₹1,998",71%,4.2,(116)
328,OPPO,OPPO Enco Buds,28,"₹3,999","₹1,599",60%,4.3,"(4,05,630)"
329,MAK,MAK POWER Strong,,"₹1,999","₹1,388",30%,4,(14)
330,realme,realme Buds T300,,"₹3,999","₹1,799",55%,4.3,"(1,14,250)"
331,GOBOULT,GOBOULT Astra with,48,"₹3,499","₹1,199",65%,4.1,"(2,10,839)"
332,GOBOULT,GOBOULT Y1 Pro,60,"₹5,999","₹1,099",81%,4.1,"(1,33,323)"
333,COREGENIX,COREGENIX Q60 OWS,,"₹2,999","₹1,199",60%,4,(557)
334,FINGERS,FINGERS SizeZero Pods2,,"₹2,499","₹1,349",46%,4,"(6,68,128)"
335,Noise,Noise Buds VS102,50,"₹3,499","₹1,299",62%,4,"(42,234)"
336,TRIGGR,TRIGGR Kraken X4,,"₹3,999",₹799,80%,3.9,"(29,013)"
337,Aroma,Aroma NB138 Bound,60,"₹2,899","₹1,299",55%,3.9,"(2,83,688)"
338,boAt,boAt Airdopes 131,45,"₹2,990","₹1,199",59%,3.9,"(6,515)"
339,Noise,Noise Buds X,120,"₹4,499","₹1,999",55%,3.8,(48)
340,APES,APES Wireless Bluetooth,,"₹5,999","₹1,742",70%,4,"(4,464)"
341,TRIGGR,TRIGGR Ultrabuds N5,40,"₹2,999",₹599,80%,4,"(12,267)"
342,TRIGGR,TRIGGR Ultrabuds N4,,"₹1,999",₹599,70%,4.3,"(1,14,250)"
343,realme,realme Buds T300,,"₹3,999","₹1,799",55%,3.9,(638)
344,boAt,boAt Nirvana X,,"₹8,990","₹1,999",77%,4.2,"(55,513)"
345,GOBOULT,GOBOULT Mustang Torq,60,"₹5,999","₹1,799",70%,4.1,"(78,308)"
346,GOBOULT,GOBOULT Z60 with,60,"₹2,999",₹799,73%,5,(4)
347,QCY,"QCY T13X Pro,Global",,"₹6,999","₹1,499",78%,4,"(1,221)"
348,FYFIT,FYFIT McLaren Style,,"₹10,999","₹1,899",82%,4.2,"(1,15,541)"
349,PTron,PTron Bassbuds Nova,40,"₹2,899","₹1,299",55%,3.9,"(57,164)"
350,boAt,boAt Nirvana ION,,"₹13,990","₹1,999",85%,4,"(4,464)"
351,boAt,"boAt Airdopes 161,",50,"₹2,999",₹899,70%,4.2,(67)
352,TRIGGR,TRIGGR Ultrabuds N5,40,"₹2,999",₹599,80%,3.7,(10)
353,ACwO,ACwO DwOTS Bliss,65,"₹4,999","₹1,099",78%,4.2,
354,KDM,KDM A1 HopPods,1,"₹2,499","₹1,349",46%,5,
355,,,,,"₹1,099",78%,5,
356,,,,,"₹1,799",70%,4.2,
357,,,,,"₹1,399",74%,4,
358,,,,,"₹1,388",30%,1,
359,,,,,"₹1,299",78%,3.8,
360,,,,,,,3,
361,,,,,,,1,
362,,,,,,,4,
363,,,,,,,1,
364,,,,,,,1,
365,,,,,,,3.8,
366,,,,,,,3,
367,,,,,,,1,
368,GOBOULT,GOBOULT Astra with,48,"₹3,499","₹1,199",65%,4.1,"(2,10,839)"
369,GOBOULT,GOBOULT Y1 with,50,"₹5,499",₹699,87%,4.1,"(5,57,237)"
370,RD,RD WS-95 Cobble,,"₹1,599","₹1,099",31%,4.1,"(2,10,839)"
371,TECHIO,TECHIO Nirvana ION,,"₹4,999",₹689,86%,4,"(12,267)"
372,Boom,Boom X3 Buds,24,"₹1,999","₹1,384",30%,4,"(82,529)"
373,GUGGU,GUGGU CIF_639H TWS,639,"₹1,999","₹1,130",43%,4,"(42,234)"
374,GOBOULT,GOBOULT Astra with,48,"₹3,499","₹1,199",65%,4.1,"(2,10,839)"
375,TRIGGR,TRIGGR Ultrabuds N4,,"₹1,999",₹599,70%,4,"(4,464)"
376,SAIBABA,SAIBABA Sweatproof Earbuds,,"₹4,999","₹1,299",74%,4.2,"(55,513)"
377,NRP,NRP STAR Ultra,,"₹4,599","₹1,299",71%,4.1,"(12,069)"
378,TRIGGR,TRIGGR Kraken X1,,"₹3,999",₹799,80%,4,"(1,06,270)"
379,TRIGGR,TRIGGR Kraken X4,,"₹3,999",₹799,80%,4,"(42,234)"
380,kartbosre,kartbosre Smart Buds,,"₹2,299","₹1,109",51%,4,"(6,68,128)"
381,Morxt,Morxt (2nd generation),,"₹4,998","₹1,914",61%,4.1,"(2,10,839)"
382,NRP,NRP STAR Touch,,"₹4,599","₹1,299",71%,4,"(2,020)"
383,SAIBABA,SAIBABA Ultra Touch,,"₹4,999","₹1,299",74%,4,"(82,529)"
384,GOBOULT,GOBOULT Astra with,48,"₹3,499","₹1,199",65%,4,"(29,713)"
385,TRIGGR,TRIGGR Ultrabuds N5,40,"₹2,999",₹599,80%,4.1,"(78,308)"
386,BeatFlow,BeatFlow Earpods Pro,,"₹9,998","₹1,142",88%,4,"(7,983)"
387,FlipHub,FlipHub Airbuds Pro,,"₹6,900","₹1,236",82%,4,(34)
388,GOBOULT,GOBOULT Mustang Torq,60,"₹5,999","₹1,799",70%,4,
389,PTron,PTron Bassbuds Vibe,34,"₹2,899",₹599,79%,5,
390,Mtouc,Mtouc CMFF_F by,,"₹2,999","₹1,000",66%,5,
391,Morxt,Morxt Earbuds Pro,24,"₹9,998","₹1,340",86%,4,
392,Morxt,Morxt Airspeeds Pro,,"₹4,997","₹1,193",76%,4,
393,delphine,delphine Earbuds J-30,45,"₹2,499","₹1,137",54%,5,
394,boAt,boAt Airdopes 181,100,"₹4,990","₹1,099",77%,4.2,
395,TRIGGR,TRIGGR Kraken X4,,"₹3,999",₹799,80%,4,
396,TECHIO,TECHIO NIRVANA_ION TWS,,"₹4,999","₹1,109",77%,1,
397,SAIBABA,SAIBABA premium pro,,"₹4,999","₹1,299",74%,4,
398,Noise,Noise Buds VS102,50,"₹3,499","₹1,299",62%,4,
399,GOBOULT,GOBOULT Astra Neo,70,"₹3,499","₹1,099",68%,1,
400,BeatFlow,BeatFlow Buds2 Pro,48,"₹9,998","₹1,283",87%,4,
401,One7,One7 ON-TWS-39 True,40,"₹1,999","₹1,152",42%,5,
402,HOPPUP,HOPPUP Gaming Earbuds,,"₹5,999",₹899,85%,3,
403,TRIGGR,TRIGGR Kraken X1,,"₹3,999",₹999,75%,,
404,Number,Number Super Buds,,"₹4,999",₹799,84%,,
405,GOBOULT,GOBOULT Z60 with,60,"₹2,999",₹799,73%,,
406,truke,truke Crystal Bass,,"₹2,999",₹699,76%,,
407,HOPPUP,HOPPUP Predator Xo5,50,"₹4,999",₹799,84%,,
408,,,,,₹599,70%,,
409,,,,,"₹1,099",77%,,
410,,,,,"₹1,799",70%,,
411,,,,,"₹1,299",62%,,
412,,,,,₹899,85%,,
413,GOBOULT,GOBOULT Astra with,48,"₹3,499","₹1,199",65%,4.1,"(2,10,839)"
414,GOBOULT,GOBOULT Y1 with,50,"₹5,499",₹699,87%,4.1,"(5,57,237)"
415,TRIGGR,TRIGGR Kraken X1,,"₹3,999",₹899,77%,4,"(82,529)"
416,Portronics,Portronics Twins S16,,"₹1,999",₹749,62%,4,"(4,695)"
417,GOBOULT,GOBOULT X45 with,40,"₹4,999",₹699,86%,3.9,"(1,23,507)"
418,Noise,Noise Buds VS404,50,"₹3,499",₹999,71%,3.9,"(85,945)"
419,GOBOULT,GOBOULT Astra with,48,"₹3,499","₹1,199",65%,4.1,"(2,10,839)"
420,TRIGGR,TRIGGR Ultrabuds N4,,"₹1,999",₹599,70%,4,"(12,267)"
421,Portronics,Portronics Harmonics Twins,,"₹1,999",₹729,63%,4,"(4,695)"
422,HOPPUP,HOPPUP Predator Xo1,50,"₹4,999",₹699,86%,4.1,"(33,256)"
423,TRIGGR,TRIGGR Kraken X1,,"₹3,999",₹799,80%,4,"(82,529)"
424,TRIGGR,TRIGGR Kraken X4,,"₹3,999",₹799,80%,4,"(42,234)"
425,Noise,"Noise Buds F1,",50,"₹3,499",₹999,71%,3.8,"(7,954)"
426,Noise,Noise Buds VS102,50,"₹2,999",₹999,66%,4,"(6,68,128)"
427,TRIGGR,TRIGGR Rizz with,40,"₹1,999",₹699,65%,4,"(16,390)"
428,truke,truke Buds F1,60,"₹2,999",₹799,73%,4,"(40,901)"
429,GOBOULT,GOBOULT Astra with,48,"₹3,499","₹1,199",65%,4.1,"(2,10,839)"
430,TRIGGR,TRIGGR Ultrabuds N5,40,"₹2,999",₹599,80%,4,"(4,464)"
431,GOBOULT,GOBOULT W40 with,48,"₹2,999",₹899,70%,4.1,"(1,82,164)"
432,truke,truke Mega 7,60,"₹3,499",₹999,71%,4.5,(585)
433,GOBOULT,GOBOULT Mustang Torq,60,"₹5,999","₹1,799",70%,4.2,"(55,513)"
434,PTron,PTron Bassbuds Vibe,34,"₹2,899",₹599,79%,4.1,"(12,069)"
435,truke,truke Mega 7,60,"₹3,499",₹999,71%,4.5,(585)
436,GOBOULT,GOBOULT Z60 with,60,"₹2,999",₹799,73%,4.1,"(78,308)"
437,GOBOULT,GOBOULT Z60 with,60,"₹2,999",₹799,73%,4.1,"(78,308)"
438,Portronics,Portronics Twins 29,,"₹2,999","₹1,376",54%,2.4,(5)
439,boAt,boAt Airdopes 181,100,"₹4,990","₹1,099",77%,4,"(1,06,270)"
440,TRIGGR,TRIGGR Kraken X4,,"₹3,999",₹799,80%,4,"(42,234)"
441,truke,truke Buds Elite,70,"₹2,299",₹599,73%,3.9,"(5,555)"
442,Noise,Noise Buds VS404,50,"₹3,499",₹999,71%,3.9,"(85,945)"
443,Noise,Noise Buds VS102,50,"₹3,499","₹1,299",62%,4,"(6,68,128)"
444,GOBOULT,GOBOULT Astra Neo,70,"₹3,499","₹1,099",68%,4.1,"(2,10,839)"
445,TRIGGR,TRIGGR Ultrabuds N1,40,"₹2,999",₹599,80%,3.9,"(66,460)"
446,Mivi,"Mivi Duopods K6,",50,"₹3,999",₹799,80%,3.9,"(46,582)"
447,GOBOULT,GOBOULT W20 with,40,"₹2,499",₹799,68%,4.1,"(2,50,114)"
448,Number,Number Navo Buds,50,"₹3,999",₹599,85%,3.7,"(23,649)"
449,Number,Number Super Buds,,"₹4,999",₹799,84%,4,"(29,713)"
450,GOBOULT,GOBOULT Mustang Torq,60,"₹5,999","₹1,799",70%,4.2,"(55,513)"
451,truke,truke Aura Pro,60,"₹2,799",₹899,67%,4.2,(790)
452,Noise,Noise Buds VS404,50,"₹3,499",₹999,71%,3.9,"(85,945)"
453,,,,,₹599,70%,4,
454,,,,,"₹1,099",77%,5,
455,,,,,₹699,65%,5,
456,,,,,₹799,84%,4,
457,,,,,₹799,73%,4,
458,,,,,,,5,
459,,,,,,,4,
460,,,,,,,3,
461,,,,,,,5,
462,,,,,,,4,
463,,,,,,,4,
464,,,,,,,5,
465,,,,,,,4,
466,,,,,,,4,
467,,,,,,,2,
468,GOBOULT,GOBOULT Astra with,48,"₹3,499","₹1,199",65%,4.1,"(2,10,839)"
469,GOBOULT,GOBOULT Astra with,48,"₹3,499","₹1,199",65%,4.1,"(2,10,839)"
470,TRIGGR,TRIGGR Ultrabuds N1,40,"₹2,999",₹599,80%,3.9,"(66,460)"
471,truke,truke Buds AURA,70,"₹2,799",₹699,75%,4,"(3,908)"
472,GOBOULT,GOBOULT Z40 with,60,"₹4,999",₹999,80%,4.1,"(4,55,572)"
473,PTron,PTron Bassbuds Vibe,34,"₹2,899",₹599,79%,4.1,"(12,069)"
474,GOBOULT,GOBOULT Y1 with,50,"₹5,499",₹699,87%,4.1,"(5,57,237)"
475,TRIGGR,TRIGGR Kraken X1,,"₹3,999",₹799,80%,4,"(82,529)"
476,PTROX,PTROX Ultrabuds with,40,"₹1,999",₹599,70%,3.9,"(46,582)"
477,Mivi,"Mivi Duopods K6,",50,"₹3,999",₹799,80%,4,"(12,267)"
478,TRIGGR,TRIGGR Ultrabuds N4,,"₹1,999",₹599,70%,4.1,"(2,10,839)"
479,GOBOULT,GOBOULT Astra with,48,"₹3,499","₹1,199",65%,3.9,"(66,460)"
480,TRIGGR,TRIGGR Ultrabuds N1,40,"₹2,999",₹599,80%,4,"(14,48,951)"
481,boAt,"boAt Airdopes 161/163,ASAP",40,"₹2,490",₹799,67%,3.7,"(23,649)"
482,Number,Number Navo Buds,50,"₹3,999",₹599,85%,4.2,"(6,290)"
483,Mivi,Mivi DuoPods Blaze,60,"₹3,999",₹699,82%,4.2,"(55,513)"
484,GOBOULT,GOBOULT Mustang Torq,60,"₹5,999","₹1,799",70%,4,"(42,234)"
485,TRIGGR,TRIGGR Kraken X4,,"₹3,999",₹799,80%,4.1,"(78,308)"
486,GOBOULT,GOBOULT Z60 with,60,"₹2,999",₹799,73%,4.1,"(5,57,237)"
487,GOBOULT,GOBOULT Y1 with,50,"₹5,499",₹699,87%,4,"(29,713)"
488,Number,Number Super Buds,,"₹4,999",₹799,84%,4.1,"(2,10,839)"
489,GOBOULT,GOBOULT Astra Neo,70,"₹3,499","₹1,099",68%,4,"(16,884)"
490,PTROX,PTROX Ultrabuds with,40,"₹1,999",₹599,70%,3.8,"(5,276)"
491,ZEBRONICS,ZEBRONICS Zeb-Sound Bomb,60,"₹4,299",₹799,81%,4.1,"(4,972)"
492,Highnotes,Highnotes Airdoze Quad,120,"₹3,499",₹492,85%,4.2,"(55,513)"
493,Mivi,Mivi Duopods Horizon,60,"₹3,999",₹699,82%,4.1,"(12,069)"
